,State_x,City_x,2010 POP,Median 2010,2011 POP,Median 2011,2012 POP,Median 2012,2013 POP,Median 2013,2014 POP,Median 2014,2015 POP,Median 2015,2016 POP,Median 2016,2017 POP,Median 2017,Brewery Name,City_y,State_y,Country,Year Established,Still in Business?,Closed?
76526,Washington,Roslyn city,893,57244,899,58890,899,59374,896,59478,895,60294,902,61062,929,62848,947,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76527,Washington,South Cle Elum town,530,57244,534,58890,533,59374,532,59478,532,60294,536,61062,552,62848,560,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76528,Washington,Balance of Kittitas County,17903,57244,18207,58890,18418,59374,18576,59478,18895,60294,19336,61062,20249,62848,20888,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76529,Washington,Klickitat County,20376,57244,20684,58890,20637,59374,20867,59478,20870,60294,21008,61062,21306,62848,21811,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76530,Washington,Bingen city,713,57244,718,58890,721,59374,724,59478,717,60294,719,61062,721,62848,729,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76531,Washington,Goldendale city,3411,57244,3446,58890,3425,59374,3443,59478,3419,60294,3419,61062,3437,62848,3485,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76532,Washington,White Salmon city,2349,57244,2377,58890,2370,59374,2404,59478,2412,60294,2434,61062,2461,62848,2552,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76533,Washington,Balance of Klickitat County,13903,57244,14143,58890,14121,59374,14296,59478,14322,60294,14436,61062,14687,62848,15045,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76534,Washington,Lewis County,75500,57244,75657,58890,75440,59374,74974,59478,74837,60294,75419,61062,76630,62848,78200,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76535,Washington,Centralia city,16653,57244,16798,58890,16716,59374,16614,59478,16554,60294,16631,61062,16853,62848,17216,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76536,Washington,Chehalis city,7262,57244,7265,58890,7273,59374,7215,59478,7201,60294,7301,61062,7402,62848,7533,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76537,Washington,Morton city,1123,57244,1123,58890,1119,59374,1113,59478,1111,60294,1120,61062,1137,62848,1159,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76538,Washington,Mossyrock city,758,57244,761,58890,759,59374,754,59478,751,60294,759,61062,770,62848,789,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76539,Washington,Napavine city,1792,57244,1786,58890,1784,59374,1793,59478,1793,60294,1800,61062,1851,62848,1893,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76540,Washington,Pe Ell town,631,57244,631,58890,630,59374,626,59478,626,60294,630,61062,642,62848,653,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
